,title,price,year,link,brand,location,age
320,2003 honda goldwing,9900,2003.0,https://roanoke.craigslist.org/mcy/d/huddleston-2003-honda-goldwing/7785295158.html,honda,roanoke,22.0
321,1998 suzuki intruder 800,4900,1998.0,https://washingtondc.craigslist.org/nva/mcy/d/manassas-1998-suzuki-intruder-800/7785295141.html,suzuki,washingtondc,27.0
322,2017 harley davidson street glide special,15500,2017.0,https://richmond.craigslist.org/mcy/d/glen-allen-2017-harley-davidson-street/7785278081.html,harley-davidson,richmond,8.0
323,harley davidson fxdrs 2019,12800,2019.0,https://washingtondc.craigslist.org/nva/mcy/d/woodbridge-harley-davidson-fxdrs-2019/7785263102.html,harley-davidson,washingtondc,6.0
324,harley road king,17500,,https://washingtondc.craigslist.org/nva/mcy/d/falls-church-harley-road-king/7785232128.html,harley-davidson,washingtondc,
325,2003 honda shadow 1100 sabre,3500,2003.0,https://richmond.craigslist.org/mcy/d/chesterfield-2003-honda-shadow-1100/7785215095.html,honda,richmond,22.0
326,2006 yamaha vino 125,1300,2006.0,https://washingtondc.craigslist.org/nva/mcy/d/arlington-2006-yamaha-vino-125/7785202543.html,yamaha,washingtondc,19.0
327,electric scooter/moped vespa style!! brand new!,2495,,https://washingtondc.craigslist.org/doc/mcd/d/washington-electric-scooter-moped-vespa/7785188916.html,missing,washingtondc,
328,honda metropolitan scooter moped,1600,,https://baltimore.craigslist.org/mcy/d/halethorpe-honda-metropolitan-scooter/7785183678.html,honda,baltimore,
329,virago 250,1200,,https://washingtondc.craigslist.org/nva/mcy/d/reston-virago-250/7785140438.html,missing,washingtondc,
330,2017 flhx under 3kmiles,17000,2017.0,https://washingtondc.craigslist.org/nva/mcy/d/reston-2017-flhx-under-3kmiles/7785139317.html,missing,washingtondc,8.0
331,2013 heritage harley davidson,11000,2013.0,https://richmond.craigslist.org/mcy/d/saluda-2013-heritage-harley-davidson/7785112325.html,harley-davidson,richmond,12.0
332,2020 triumph street triple r lrh,6950,2020.0,https://washingtondc.craigslist.org/nva/mcy/d/vienna-2020-triumph-street-triple-lrh/7785108909.html,harley-davidson,washingtondc,5.0
333,2001 ducati st4,4500,2001.0,https://richmond.craigslist.org/mcy/d/richmond-2001-ducati-st4/7785086868.html,ducati,richmond,24.0
334,2007 venus 50cc scooter,450,2007.0,https://annapolis.craigslist.org/mcy/d/annapolis-2007-venus-50cc-scooter/7785078705.html,missing,annapolis,18.0
335,2005 harley davidson electra glide,5500,2005.0,https://winchester.craigslist.org/mcy/d/augusta-2005-harley-davidson-electra/7785074994.html,harley-davidson,winchester,20.0
336,1998 harley davidson sportster custom xl1200c near-mint condition,3900,1998.0,https://saltlakecity.craigslist.org/mcy/d/romney-1998-harley-davidson-sportster/7785051998.html,harley-davidson,saltlakecity,27.0
337,2009 yamaha stratoliner 1900cc,4800,2009.0,https://frederick.craigslist.org/mcy/d/frederick-2009-yamaha-stratoliner-1900cc/7785049033.html,yamaha,frederick,16.0
338,1984 honda nighthawk 650sc near mint,3600,1984.0,https://saltlakecity.craigslist.org/mcy/d/romney-1984-honda-nighthawk-650sc-near/7785048663.html,honda,saltlakecity,41.0
339,2012 honda shadow aero,3000,2012.0,https://baltimore.craigslist.org/mcy/d/rosedale-2012-honda-shadow-aero/7785016366.html,honda,baltimore,13.0
340,2020 yamaha ttr50el,1500,2020.0,https://washingtondc.craigslist.org/nva/mcy/d/woodbridge-2020-yamaha-ttr50el/7784991566.html,yamaha,washingtondc,5.0
341,honda nx 650 motorcycle,5800,,https://easternshore.craigslist.org/mcy/d/greensboro-honda-nx-650-motorcycle/7784973723.html,honda,easternshore,
342,2000 harley fatboy,5800,2000.0,https://chambersburg.craigslist.org/mcy/d/lurgan-2000-harley-fatboy/7784953211.html,harley-davidson,chambersburg,25.0
343,2003 ninja 250,2000,2003.0,https://chambersburg.craigslist.org/mcy/d/fairfield-2003-ninja-250/7784950043.html,missing,chambersburg,22.0
344,2022 honda adv 150 abs,3200,2022.0,https://richmond.craigslist.org/mcy/d/henrico-2022-honda-adv-150-abs/7784939743.html,honda,richmond,3.0
345,bmw 2003 r1150rs,3200,2003.0,https://washingtondc.craigslist.org/nva/mcy/d/unionville-bmw-2003-r1150rs/7784888257.html,bmw motorrad,washingtondc,22.0
346,2013 harley davidson sportster xl custom 1200cc,6900,2013.0,https://washingtondc.craigslist.org/doc/mcy/d/sterling-2013-harley-davidson-sportster/7784829129.html,harley-davidson,washingtondc,12.0
347,2005 honda vtx1800 f3,6400,2005.0,https://richmond.craigslist.org/mcy/d/sandston-2005-honda-vtx1800-f3/7784822993.html,honda,richmond,20.0
